"","H9.1","H9.2","H9.3","OB.1","OB.2","OB.3","WT.1","WT.2","WT.3"
"1452154_at",7.48493838649844,7.84143767306163,7.94013101451775,7.08313189137393,7.64641370111243,7.88723820957006,8.0051215748255,8.12332280695154,7.90292560455753
"1423746_at",8.81247777300969,9.22434748382043,8.96940572748333,8.77140799896185,8.96940572748333,9.15515378406068,9.31339638767692,7.67944125693535,8.95942040658677
"1415698_at",6.1770180360192,6.31770824322237,6.4051604361912,5.72474569569884,5.91968771028814,5.68868154767565,6.25024622946223,6.38119442661454,6.1770180360192
"1419136_at",5.32017069494558,5.11433535912352,5.09313875111426,5.41592508039899,5.70805424875769,5.52777472188951,5.31186156320532,5.38179816483375,5.38179816483375
"1420169_at",3.00834886350616,3.4346573913751,3.30429950157053,3.56808158981731,3.30429950157053,3.30429950157053,2.95184789344595,3.49459959256063,3.24508740631741
"1424813_at",5.25862095565098,5.07192871109556,5.04281734345803,5.87499888737344,5.36606717919556,5.36606717919556,5.37548297149221,5.4876879907103,5.55478716733886
"1415903_at",4.6248847122111,5.02576493485293,4.54531263716397,4.85721312735155,4.86078610190244,4.74308898599968,4.42167217285812,4.43018484636061,4.75446006695829
"1426996_at",5.40308031447223,5.08358742276443,5.21887050649885,4.79495114559461,5.30121309255845,5.28514614132426,5.27818090109113,4.86851975353751,5.06224969188385
"1449491_at",7.8400215051856,7.74275122146453,7.48408923371939,8.08914658741355,8.48039175193052,8.34488457861792,7.73347873252357,8.08884162235833,8.09169615992746
"1427042_at",7.82679813827709,7.58487411520596,8.23465977538413,7.98628055785937,7.7662908745398,7.62591711838492,8.27926311697076,7.97715054214885,7.95213573925639
"1419899_at",4.53389576370642,4.67384837419046,4.22077811106687,4.53389576370642,4.53389576370642,4.30942803629753,4.59483721017696,4.89828619123165,4.65975557506981
"1451199_at",5.51780934654662,5.22307389673572,4.91217649803592,5.22307389673572,5.22500608728081,5.01917075145876,4.95653064828253,5.47539404530701,5.4094969253945
"1415725_at",5.96859543707546,6.29217798692039,5.81362217693219,5.97522708304451,6.02037814192597,5.79454953813594,6.31019952526928,6.72821342072792,6.12556421059753
